address,comuna,surface_m2,distance_to_metro,price_uf
"Calle Los Aromos 553, Providencia",Providencia,36,3866,13.0
"Calle Los Cactus 409, Santiago",Santiago,35,86,13.37
"Ingrid Neira 3926, San Miguel",San Miguel,54,43,11.26
"Avenida Eusebio Lillo 517, San Miguel",San Miguel,20,1548,6.02
"Salvador Allende 7140, San Miguel",San Miguel,123,2096,24.97
"José Victorino Lastarria 2427, Providencia",Providencia,55,75,22.21
"Los Encinos 227, Maipú",Maipú,47,96,11.03
"Calle Patricio Cabrera 1741, La Florida",La Florida,71,26,16.52
"Calle Eusebio Lillo 1720, Las Condes",Las Condes,114,88,40.45
"Francisco Bilbao 16, Maipú",Maipú,63,187,12.59
"Santiago Rebolledo 961, San Miguel",San Miguel,65,2807,13.89
"Calle Giselle Rosales 698, Maipú",Maipú,47,881,15.52
"Caupolicán 915, La Florida",La Florida,42,1206,7.4
"Arturo Prat 343, San Miguel",San Miguel,36,1197,8.59
"José Molina 8615, Vitacura",Vitacura,32,612,16.31
"Av. Manuel Montt 4309, Providencia",Providencia,33,1277,11.21
"Los Calafates 9847, San Miguel",San Miguel,26,724,11.12
"Los Cactus 7050, Santiago",Santiago,43,302,6.75
"Calle Picarte 38, Providencia",Providencia,22,658,9.42
"Constanza Díaz 17, Las Condes",Las Condes,48,610,21.65
"Las Hortensias 1202, La Florida",La Florida,44,1387,8.65
"Av. Los Helechos 229, Estación Central",Estación Central,47,3201,6.14
"Calle Ramón Barros Luco 7365, San Miguel",San Miguel,36,423,11.97
"Esmeralda 682, Lo Barnechea",Lo Barnechea,153,1153,51.45
"Avda. Ruth Núñez 6262, Providencia",Providencia,77,84,29.22
"Carlos Gutiérrez 721, Vitacura",Vitacura,27,1199,11.9
"Calle Alejandro González 7194, Maipú",Maipú,49,371,12.44
"Las Manzanillas 8248, Las Condes",Las Condes,35,32,17.63
"Enrique Mac Iver 309, San Miguel",San Miguel,29,361,11.78
"Las Hortensias 5, Providencia",Providencia,26,754,15.38
"Gabriela Mistral 931, San Miguel",San Miguel,53,101,8.99
"Avenida Paula Jaraquemada 134, Santiago",Santiago,34,2061,8.77
"Calle Carolina Villanueva 37, La Florida",La Florida,65,64,11.93
"Avenida José Ríos 8645, Providencia",Providencia,66,2127,27.73
"Calle Arturo Prat 820, Vitacura",Vitacura,77,982,28.99
"Luis Elgueta 69, Las Condes",Las Condes,31,320,17.32
"Portales 2153, Maipú",Maipú,54,396,11.82
"Avda. Celia Vera 1797, Maipú",Maipú,57,1080,8.87
"Caupolicán 37, San Miguel",San Miguel,36,735,7.74
"Lord Thomas Cochrane 535, Santiago",Santiago,32,890,13.08
"Calle María Donoso 7177, Santiago",Santiago,85,394,22.25
"Avda. Francisco Álvarez 9929, Lo Barnechea",Lo Barnechea,48,535,24.68
"Calle Noelia Leiva 8, Maipú",Maipú,57,3673,9.84
"Los Naranjos 6633, San Miguel",San Miguel,32,192,12.0
"Pedro Montt 39, Ñuñoa",Ñuñoa,27,432,11.03
"Francesca Olivares 7780, San Miguel",San Miguel,35,276,10.6
"Daniel Meneses 817, Vitacura",Vitacura,42,1158,16.14
"Calle Soledad Uribe 632, Lo Barnechea",Lo Barnechea,29,1155,13.43
"Calle Los Piñones 1427, Macul",Macul,44,276,10.87
"Los Lirios 36, Las Condes",Las Condes,22,67,15.5
"Las Rosas 20, Santiago",Santiago,28,9,12.56
"José Victorino Lastarria 4498, Providencia",Providencia,58,446,22.13
"Avenida José Victorino Lastarria 250, Ñuñoa",Ñuñoa,56,422,22.88
"Lord Cochrane 355, Providencia",Providencia,38,3564,13.28
"Ramón Toro 62, Ñuñoa",Ñuñoa,29,507,13.83
"Calle Lidia Urrutia 43, Macul",Macul,29,237,15.63
"Gabriela Mistral 2640, Providencia",Providencia,38,1774,17.23
"Gabriela Mistral 881, San Miguel",San Miguel,57,540,16.96
"Jonathan Palma 4951, San Miguel",San Miguel,64,731,14.05
"Los Piñones 2241, Santiago",Santiago,36,80,13.43
"Calle Leonardo Vidal 18, Maipú",Maipú,28,386,5.01
"Calle Las Maravillas 627, Macul",Macul,49,2309,12.15
"Manuel Montt 9103, Providencia",Providencia,32,712,14.12
"Gabriela Mistral 9579, Vitacura",Vitacura,36,337,18.66
"Claudio Tapia 4424, Providencia",Providencia,75,786,27.9
"Los Coihues 1, San Miguel",San Miguel,62,1930,10.26
"Calle Vicente Hernández 58, Las Condes",Las Condes,47,256,24.66
"Psje. Angelo Uribe 422, San Miguel",San Miguel,26,562,11.0
"Calle José Miguel Carrera 452, San Miguel",San Miguel,48,2549,10.47
"Santiago Barrera 3, Ñuñoa",Ñuñoa,68,151,22.56
"Los Aromos 9, La Florida",La Florida,38,1017,10.08
"Calle Los Cactus 872, Las Condes",Las Condes,76,762,31.48
"Esmeralda 9, Las Condes",Las Condes,74,910,27.08
"Benjamín Mendoza 349, Macul",Macul,86,346,20.03
"Myriam Villagrán 3170, San Miguel",San Miguel,50,301,13.79
"Luis González 637, Santiago",Santiago,56,922,17.84
"Calle Ramón Barros Luco 434, San Miguel",San Miguel,78,194,18.16
"Calle Los Alerces 718, Providencia",Providencia,53,435,19.97
"Calle Ángela Valdés 7562, La Florida",La Florida,36,166,14.76
"Gabriela Mistral 8554, La Florida",La Florida,37,6,13.05
"Juan Lobos 567, Santiago",Santiago,49,2806,13.77
"Av. Anselmo Romero 22, Providencia",Providencia,26,452,10.15
"Calle Mario Mellado 2, San Miguel",San Miguel,42,2788,9.04
"Anaís Pérez 346, Ñuñoa",Ñuñoa,69,120,27.11
"Vicente Mora 33, Las Condes",Las Condes,20,708,9.29
"San Martín 8494, Maipú",Maipú,82,179,16.52
"René Araya 52, Las Condes",Las Condes,70,1248,25.86
"Psje. Las Malvas 714, Estación Central",Estación Central,37,1224,5.25
"Calle Alonso Gutiérrez 6471, San Miguel",San Miguel,55,95,14.86
"Alicia Alarcón 9715, Lo Barnechea",Lo Barnechea,44,1944,17.27
"María Castro 825, San Miguel",San Miguel,73,173,18.48
"Calle José Riquelme 550, Maipú",Maipú,66,759,15.82
"Calle Los Piñones 321, Macul",Macul,25,3394,10.37
"Benjamín Cortés 54, La Florida",La Florida,56,1712,8.82
"Arturo Prat 320, Santiago",Santiago,41,2509,9.86
"Sebastián Cofré 421, Santiago",Santiago,46,335,14.76
"Calle Emiliano Vilches 988, La Florida",La Florida,33,89,15.03
"Calle Antonio Varas 80, Providencia",Providencia,89,166,33.22
"Manuel Rodríguez 979, San Miguel",San Miguel,67,555,16.46
"Esmeralda 3132, Providencia",Providencia,33,1260,14.61
"Calle Sofía Allende 111, Estación Central",Estación Central,26,130,10.89
"Las Araucarias 131, Maipú",Maipú,38,862,6.2
"Cristóbal Pizarro 20, Vitacura",Vitacura,53,312,24.64
"Avenida Las Araucarias 4193, Macul",Macul,49,333,17.08
"Avenida José Morales 64, Maipú",Maipú,73,867,12.9
"Esmeralda 993, Lo Barnechea",Lo Barnechea,61,503,24.0
"María Cancino 48, San Miguel",San Miguel,65,1337,13.58
"Psje. Camila Cid 8138, Maipú",Maipú,50,135,6.94
"Caupolicán 7125, Vitacura",Vitacura,25,1248,13.27
"Domingo Santa María 851, Santiago",Santiago,41,53,14.76
"Calle Michimalonco 18, Providencia",Providencia,68,172,24.22
"Calle O'Higgins 4947, Maipú",Maipú,43,854,6.35
"Eduardo Retamales 617, Estación Central",Estación Central,54,1544,7.63
"Calle Fabián Catalán 281, Maipú",Maipú,39,233,12.46
"Calle Leonardo Sobarzo 22, San Miguel",San Miguel,29,317,15.03
"Los Copihues 4961, Maipú",Maipú,42,616,13.02
"Michimalonco 59, La Florida",La Florida,50,190,9.69
"Juan Mackenna 967, Ñuñoa",Ñuñoa,34,1333,13.93
"Calle Los Lirios 4477, La Florida",La Florida,40,1188,7.32
"Calle Franco Avendaño 702, Vitacura",Vitacura,30,125,16.44
"Karla Sepúlveda 911, San Miguel",San Miguel,69,498,15.08
"Las Mosquetas 847, Providencia",Providencia,39,1192,16.46
"Cristian Jara 18, Las Condes",Las Condes,79,329,32.22
"Camino Los Alerces 8756, Las Condes",Las Condes,82,802,29.16
"Los Laureles 8842, Santiago",Santiago,43,41,14.28
"Camilo Henríquez 27, Ñuñoa",Ñuñoa,29,750,12.52
"Graciela Villalobos 897, Macul",Macul,20,132,11.07
"Lorenzo Salinas 779, Las Condes",Las Condes,24,1420,14.2
"Graciela Gaete 1009, Ñuñoa",Ñuñoa,25,351,8.31
"Av. Diego Andrade 7561, San Miguel",San Miguel,77,264,18.57
"Los Copihues 403, La Florida",La Florida,46,1470,6.95
"Avenida Ruth Trujillo 3415, Ñuñoa",Ñuñoa,52,41,19.9
"Calle Arturo Prat 969, Santiago",Santiago,20,404,7.55
"Francisco Bilbao 690, Maipú",Maipú,27,369,8.12
"Pedro de Valdivia 4171, Santiago",Santiago,63,268,14.45
"Los Aromos 35, Providencia",Providencia,50,1942,13.51
"Marcela Badilla 5183, Vitacura",Vitacura,42,1112,13.56
"Calle Las Lilas 239, Maipú",Maipú,56,52,13.95
"María Núñez 4876, Vitacura",Vitacura,85,1003,31.62
"Lautaro 548, Maipú",Maipú,40,599,7.64
"Salvador Allende 9649, San Miguel",San Miguel,45,1849,13.73
"Las Maravillas 12, Maipú",Maipú,48,300,9.32
"Freddy Acuña 7748, La Florida",La Florida,116,682,24.68
"Mariela Rojas 3723, Estación Central",Estación Central,20,555,10.5
"Av. Los Digitales 5136, Ñuñoa",Ñuñoa,58,537,13.94
"Avenida Los Naranjos 436, La Florida",La Florida,42,487,10.77
"Calle Alonso de Ribera 84, San Miguel",San Miguel,56,184,14.41
"Las Azucenas 7, San Miguel",San Miguel,34,1127,5.0
"Calle Manuel Rodríguez 1482, Santiago",Santiago,43,480,8.39
"Las Mosquetas 5159, Maipú",Maipú,59,2545,12.18
"Pasaje Bulnes 316, Estación Central",Estación Central,155,241,31.6
"Calle Elisa Mejías 598, La Florida",La Florida,61,918,14.72
"Los Piñones 7155, San Miguel",San Miguel,31,2260,8.67
"Pasaje Sofía Rodríguez 5476, San Miguel",San Miguel,37,871,9.92
"María Palma 915, Macul",Macul,37,1640,13.4
"Manuel Baquedano 3, Providencia",Providencia,21,1405,14.83
"Los Aromos 140, Las Condes",Las Condes,39,357,16.23
"Avenida Lautaro 6864, Ñuñoa",Ñuñoa,59,733,13.59
"Calle Mac Iver 564, Providencia",Providencia,26,135,8.76
"Pasaje Mac Iver 7275, Providencia",Providencia,67,613,26.76
"Calle Arturo Prat 87, Providencia",Providencia,54,209,21.23
"Lastarria 31, Vitacura",Vitacura,33,1089,16.41
"Calle Los Coihues 885, Vitacura",Vitacura,42,600,15.19
"Avda. Caupolicán 7720, Estación Central",Estación Central,84,423,13.93
"Avenida Elizabeth Pérez 7829, San Miguel",San Miguel,59,250,14.79
"Los Aromos 52, Ñuñoa",Ñuñoa,44,5315,13.6
"Avenida John Véliz 7652, Santiago",Santiago,40,59,12.77
"Pedro de Valdivia 4089, Providencia",Providencia,46,35,17.89
"Psje. Portales 12, Maipú",Maipú,36,195,8.4
"Ramón Carnicer 621, La Florida",La Florida,20,2834,8.12
"Psje. Luis Barrientos 277, Las Condes",Las Condes,101,3099,34.25
"Avda. Catalina Cartes 84, San Miguel",San Miguel,47,851,13.24
"Camilo Henríquez 49, Maipú",Maipú,52,1696,7.4
"Avda. Los Encinos 162, Maipú",Maipú,43,192,5.0
"Psje. Los Palmitos 835, San Miguel",San Miguel,33,2861,6.69
"Calle Camilo Henríquez 7, Santiago",Santiago,41,123,11.23
"Avda. Vanessa Mansilla 1180, Lo Barnechea",Lo Barnechea,23,85,15.67
"Los Copihues 159, Estación Central",Estación Central,111,95,29.6
"Calle Las Rosas 9652, Providencia",Providencia,27,681,13.84
"Calle Manuel Rodríguez 357, Maipú",Maipú,29,1214,13.65
"Calle Lynch 3150, Santiago",Santiago,37,365,12.75
"Las Mosquetas 5, Santiago",Santiago,74,3049,13.79
"Los Copihues 9494, San Miguel",San Miguel,44,455,12.99
"Gabriela Mistral 8728, Providencia",Providencia,27,130,18.77
"Calle Arturo Prat 8742, Lo Barnechea",Lo Barnechea,73,501,31.74
"O'Higgins 8587, Providencia",Providencia,59,909,19.21
"Los Helechos 22, Lo Barnechea",Lo Barnechea,55,1428,21.14
"Arturo Prat 32, La Florida",La Florida,59,491,9.5
"Bernardo Poblete 139, Ñuñoa",Ñuñoa,116,720,34.36
"Alfredo Torres 83, Las Condes",Las Condes,107,248,42.49
"Av. Alonso de Ribera 616, Estación Central",Estación Central,33,830,7.78
"Mayte Rodríguez 8017, Maipú",Maipú,85,3413,12.0
"Las Margaritas 1, Maipú",Maipú,52,40,14.74
"Los Copihues 375, Estación Central",Estación Central,54,1740,10.74
"Av. Valeska Fernández 91, Lo Barnechea",Lo Barnechea,22,660,12.17
"Mónica Ortiz 4610, Ñuñoa",Ñuñoa,41,232,16.39
"Calle Daniel Pacheco 3, La Florida",La Florida,32,2478,6.57
"Calle Irarrázabal 39, Santiago",Santiago,62,528,17.77
"Caupolicán 48, Lo Barnechea",Lo Barnechea,68,322,28.21
"Los Lirios 57, La Florida",La Florida,20,160,6.29
"Eliana Soto 359, Providencia",Providencia,44,224,15.94
"Freire 4857, Providencia",Providencia,70,1431,22.52
"Pasaje Mauricio Pacheco 8761, San Miguel",San Miguel,41,762,12.69
"Calle Los Higos 943, San Miguel",San Miguel,59,1955,13.12
"José de San Martín 208, San Miguel",San Miguel,51,211,12.78
"Pablo Soto 694, Las Condes",Las Condes,51,103,23.43
"Calle Las Araucarias 317, Maipú",Maipú,40,4,11.73
"Av. José Olivares 85, Providencia",Providencia,27,567,14.57
"Las Hortensias 35, Las Condes",Las Condes,28,5104,12.27
"Calle Jeannette Cerda 71, Maipú",Maipú,59,949,10.54
"José Campos 8776, Estación Central",Estación Central,45,294,11.46
"Avenida Las Hortensias 264, Maipú",Maipú,42,1675,11.55
"Calle Jorge Mamani 430, La Florida",La Florida,37,1217,7.07
"Las Margaritas 4368, Santiago",Santiago,39,12,15.09
"Calle Manuel Rodríguez 301, San Miguel",San Miguel,67,1358,14.33
"Avda. Claudio Escobar 4793, Las Condes",Las Condes,39,285,19.09
"Calle Las Malvas 250, San Miguel",San Miguel,26,129,9.05
"Bulnes 99, Ñuñoa",Ñuñoa,60,205,20.93
"Calle Los Calafates 899, Providencia",Providencia,41,505,19.23
"Avda. Luz Romero 8146, Macul",Macul,45,442,9.99
"Calle Picarte 360, San Miguel",San Miguel,85,272,16.51
"Avda. Los Tilos 6383, Las Condes",Las Condes,44,151,17.08
"Elvira Valdebenito 746, Providencia",Providencia,50,1149,14.89
"Lautaro 42, Santiago",Santiago,27,3692,8.26
"Avenida Los Piñones 422, Las Condes",Las Condes,40,1203,12.75
"Avenida Juan Olivares 5, Maipú",Maipú,57,280,12.08
"Calle María González 35, San Miguel",San Miguel,23,224,11.1
"Av. Hans Muñoz 4619, San Miguel",San Miguel,48,196,15.01
"Calle Michimalonco 6, San Miguel",San Miguel,46,117,13.22
"Avda. Las Rosas 28, La Florida",La Florida,45,641,11.06
"Pasaje Los Aromos 211, Ñuñoa",Ñuñoa,67,743,20.76
"José Rodríguez 335, Santiago",Santiago,51,977,11.85
"Avda. Las Araucarias 612, San Miguel",San Miguel,80,912,16.7
"Lautaro 1376, Providencia",Providencia,30,276,19.85
"Av. Bárbara Fernández 6456, Maipú",Maipú,47,320,13.26
"Calle Elba Romero 8666, La Florida",La Florida,46,915,16.42
"Domingo Riquelme 2208, Santiago",Santiago,29,343,8.74
"Calle Manuel Antonio Matta 360, Maipú",Maipú,65,191,14.23
"María Osorio 58, Maipú",Maipú,113,375,16.92
"Matta 65, Macul",Macul,44,254,10.93
"Av. Los Alerces 826, La Florida",La Florida,54,73,19.29
"Av. Evelyn Hidalgo 456, Santiago",Santiago,46,1418,9.74
"Calle Las Azucenas 5288, Santiago",Santiago,33,1534,13.41
"Calle Ximena Maldonado 12, Santiago",Santiago,21,198,6.17
"Av. Los Aromos 2468, La Florida",La Florida,33,53,8.94
"Av. Manuel Rodríguez 210, Lo Barnechea",Lo Barnechea,25,1074,11.3
"Los Robles 607, Maipú",Maipú,88,190,17.51
"Av. Soraya Poblete 48, Maipú",Maipú,42,399,12.52
"Manuel Rodríguez 792, Vitacura",Vitacura,38,53,22.21
"Franco Rodríguez 835, La Florida",La Florida,63,205,13.86
"Calle Irarrázabal 8062, Las Condes",Las Condes,28,1259,12.27
"Calle Paola Pino 586, Ñuñoa",Ñuñoa,32,1305,10.54
"Victoria Romero 376, Macul",Macul,45,185,11.24
"Calle Alejandro Navarro 9, Lo Barnechea",Lo Barnechea,67,327,23.84
"Luis Castillo 628, La Florida",La Florida,54,115,16.75
"Avenida Manuel Bulnes 9940, La Florida",La Florida,49,61,9.33
"Calle Matías Miranda 7022, San Miguel",San Miguel,46,3880,14.05
"Pasaje Manuel Rodríguez 2270, Vitacura",Vitacura,52,852,21.5
"Diego Carmona 894, Providencia",Providencia,48,624,16.18
"Lautaro 392, Santiago",Santiago,29,1160,10.08
"Hugo Vallejos 225, Estación Central",Estación Central,45,1466,12.34
"Rocío Salazar 1658, Santiago",Santiago,29,1314,10.87
"Las Mandarinas 5120, Providencia",Providencia,46,13,21.98
"Nelson Ríos 1989, Santiago",Santiago,36,165,14.91
"Jacqueline Gatica 901, San Miguel",San Miguel,123,851,20.34
"Psje. Pedro Fuentes 89, La Florida",La Florida,43,376,9.77
"Av. Barros Luco 107, Las Condes",Las Condes,25,3235,8.53
"Los Aromos 785, La Florida",La Florida,42,875,12.74
"Calle Los Helechos 342, San Miguel",San Miguel,55,2508,10.89
"Avda. Los Higos 6620, Estación Central",Estación Central,87,179,19.51
"Calle Juan Sandoval 7654, Ñuñoa",Ñuñoa,35,1595,13.17
"Calle Enrique Mac Iver 286, Santiago",Santiago,23,310,6.89
"Calle Los Lirios 117, Maipú",Maipú,61,3650,8.8
"Ramón Freire 50, Las Condes",Las Condes,25,137,17.94
"Yonathan Moya 7824, Maipú",Maipú,37,581,7.02
"Los Piñones 48, Santiago",Santiago,40,1259,10.42
"Calle Yonatan Varas 868, Las Condes",Las Condes,43,453,16.59
"Calle Los Aromos 34, Ñuñoa",Ñuñoa,58,505,18.12
"Calle Los Copihues 4465, Macul",Macul,34,3435,7.93
"Silvana Vásquez 5891, Las Condes",Las Condes,40,443,15.72
"Calle Bernardo O'Higgins 74, San Miguel",San Miguel,44,741,9.0
"Avenida Helen Cortés 854, Ñuñoa",Ñuñoa,47,44,19.51
"Calle Los Pinos 1795, Santiago",Santiago,46,1477,8.89
"Avenida José Aravena 72, Vitacura",Vitacura,53,835,20.68
"Enzo Retamal 28, Maipú",Maipú,62,414,10.61
"Calle Salvador Allende 656, Estación Central",Estación Central,52,13,13.73
"Diego Barros Arana 1537, Estación Central",Estación Central,53,716,13.05
"Avda. Violeta Zapata 23, Macul",Macul,23,10,15.06
"Isabella Parada 5750, Las Condes",Las Condes,45,0,20.19
"Las Manzanillas 13, La Florida",La Florida,54,765,17.05
"Camino Ingrid Contreras 9872, Vitacura",Vitacura,59,167,24.37
"Avenida Elena Guerra 319, Vitacura",Vitacura,33,170,21.25
"Calle Pedro de Valdivia 44, Ñuñoa",Ñuñoa,34,847,10.58
"Camino Caupolicán 848, San Miguel",San Miguel,35,44,10.79
"Pasaje Caupolicán 60, La Florida",La Florida,55,300,11.34
"Bulnes 6877, Santiago",Santiago,67,129,17.9
"Renato Céspedes 8468, San Miguel",San Miguel,37,694,11.75
"Arturo Prat 4190, Providencia",Providencia,64,867,23.79
"Antonio Varas 2541, Estación Central",Estación Central,46,1021,6.85
"Calle Lautaro 454, San Miguel",San Miguel,42,235,10.25
"Calle José Victorino Lastarria 48, San Miguel",San Miguel,41,74,11.4
"Avda. Ramón Carnicer 27, Lo Barnechea",Lo Barnechea,60,65,25.43
"Psje. Casanova 8120, La Florida",La Florida,50,444,11.35
"Calle Las Rosas 5080, Santiago",Santiago,111,2332,19.86
"Manuel Antonio Matta 163, Providencia",Providencia,31,196,15.66
"Los Calafates 269, Las Condes",Las Condes,54,237,28.43
"Caupolicán 907, Santiago",Santiago,36,85,11.55
"Las Rosas 4091, Santiago",Santiago,31,744,8.11
"Rosa Salinas 879, Providencia",Providencia,44,911,17.85
"Calle Rodolfo Rojas 5685, Estación Central",Estación Central,47,823,8.25
"Brenda Carrillo 5495, Lo Barnechea",Lo Barnechea,143,1579,47.59
"Los Copihues 420, San Miguel",San Miguel,41,533,9.58
"Simón Bustamante 4533, Maipú",Maipú,28,115,14.38
"Calle Salvador Allende 679, San Miguel",San Miguel,49,273,14.57
"Elena Núñez 8521, Santiago",Santiago,20,868,5.44
"Calle Los Copihues 437, Ñuñoa",Ñuñoa,43,759,13.23
"Calle Liliana Román 46, Providencia",Providencia,44,605,15.75
"Diego Barros Arana 115, Estación Central",Estación Central,61,918,14.89
"Luis Álvarez 1950, San Miguel",San Miguel,65,811,11.67
"Calle Patricia Briceño 95, Maipú",Maipú,36,1705,5.73
"Calle María Garcés 30, Providencia",Providencia,42,705,14.85
"Ramón Picarte 4347, Providencia",Providencia,32,1206,12.68
"Lautaro 789, Vitacura",Vitacura,28,228,15.9
"Calle Camilo Henríquez 7655, Santiago",Santiago,50,907,8.6
"Pasaje Fresia Quezada 34, Ñuñoa",Ñuñoa,26,1859,8.51
"Manuel Rodríguez 942, Maipú",Maipú,37,389,9.31
"Jazmín Castillo 3791, San Miguel",San Miguel,30,1208,6.79
"Sergio Cordero 85, Estación Central",Estación Central,55,1032,12.18
"Vicente García 877, Lo Barnechea",Lo Barnechea,91,49,37.15
"Calle Las Margaritas 19, Maipú",Maipú,26,696,6.95
"Calle Javiera Barrios 746, La Florida",La Florida,21,111,9.84
"Carolina Garcés 5121, La Florida",La Florida,42,2736,5.0
"Los Girasoles 890, La Florida",La Florida,44,1334,8.38
"Andrés Gallardo 865, La Florida",La Florida,48,92,15.98
"Manuel Rodríguez 2734, Santiago",Santiago,37,103,11.78
"Los Alerces 2888, Las Condes",Las Condes,41,722,15.41
"Pasaje Los Helechos 4508, Vitacura",Vitacura,51,338,29.09
"Esmeralda 3443, Maipú",Maipú,67,28,20.61
"Exequiel González 1566, Santiago",Santiago,20,624,8.64
"Las Margaritas 426, La Florida",La Florida,38,392,13.11
"Avda. Sofía Reyes 887, San Miguel",San Miguel,48,85,9.22
"Lautaro 4366, Las Condes",Las Condes,30,1295,11.2
"Los Lirios 60, Las Condes",Las Condes,89,1972,29.24
"Calle Luis Quiroga 7553, Santiago",Santiago,34,1130,8.57
"Santa Rosa 58, San Miguel",San Miguel,43,1382,9.18
"Las Rosas 302, Providencia",Providencia,55,195,15.34
"Las Rosas 79, San Miguel",San Miguel,35,244,12.45
"Santa María 2637, Las Condes",Las Condes,21,187,14.53
"Las Rosas 341, San Miguel",San Miguel,37,1158,13.6
"Avenida Diego Barros Arana 89, Providencia",Providencia,67,2363,19.84
"Calle Arturo Prat 5, La Florida",La Florida,39,1009,6.86
"Calle Ignacia Díaz 6802, Ñuñoa",Ñuñoa,31,1706,5.0
"Manuel Antonio Matta 3, San Miguel",San Miguel,64,814,13.93
"Pablo Andrade 432, Vitacura",Vitacura,39,392,21.6
"Calle Las Manzanillas 529, Las Condes",Las Condes,36,443,14.95
"Javiera Pavez 330, Ñuñoa",Ñuñoa,47,62,23.98
"Los Piñones 49, San Miguel",San Miguel,60,25,16.77
"Benjamín Donoso 179, Santiago",Santiago,115,951,24.34
"Calle Manuel Rodríguez 74, Providencia",Providencia,62,461,19.07
"Estefanía Suazo 729, Santiago",Santiago,71,642,17.33
"Los Calafates 22, Maipú",Maipú,36,652,5.0
"Álvaro Casanova 52, La Florida",La Florida,29,259,11.24
"Sebastián Montero 737, Vitacura",Vitacura,45,516,22.66
"Luis Bravo 68, San Miguel",San Miguel,46,509,15.69
"Manuel Montt 1807, Las Condes",Las Condes,29,393,12.01
"Avenida Santa Rosa 763, Providencia",Providencia,41,1374,15.48
"Calle Arturo Prat 85, Estación Central",Estación Central,52,479,12.55
"Los Lirios 3837, Las Condes",Las Condes,51,740,21.33
"Las Malvas 2220, San Miguel",San Miguel,54,1807,9.82
"Calle Martín Sandoval 8042, Santiago",Santiago,50,1609,5.64
"Esmeralda 48, Macul",Macul,36,1768,9.81
"Las Manzanillas 5816, San Miguel",San Miguel,36,251,11.23
"Los Laureles 406, Vitacura",Vitacura,27,28,16.41
"Calle Constanza Soto 405, Ñuñoa",Ñuñoa,91,242,29.79
"Calle Mackenna 9206, San Miguel",San Miguel,44,261,12.81
"Av. José Miguel Carrera 786, Las Condes",Las Condes,40,1920,12.44
"Calle Vicuña Mackenna 1065, Ñuñoa",Ñuñoa,30,838,6.61
"Santa María 1495, Vitacura",Vitacura,144,68,52.04
"Av. Bulnes 27, Las Condes",Las Condes,29,116,22.05
"Ernesto Villagrán 641, Ñuñoa",Ñuñoa,37,135,17.41
"Santa Rosa 6571, Las Condes",Las Condes,52,796,20.89
"Avenida Las Rosas 138, San Miguel",San Miguel,56,1063,12.49
"Calle Iris Silva 2639, Santiago",Santiago,65,1570,13.73
"Calle Los Aromos 4630, La Florida",La Florida,92,2259,19.01
"Marisa Parra 52, Providencia",Providencia,54,180,20.31
"Caupolicán 78, Lo Barnechea",Lo Barnechea,29,296,16.62
"Avda. Los Palmitos 65, Las Condes",Las Condes,40,219,17.8
"Calle María Montoya 4, Santiago",Santiago,50,355,18.56
"Abigail Maldonado 2017, Macul",Macul,102,1968,21.91
"Calle Deisy Pinilla 4298, Vitacura",Vitacura,25,684,17.15
"Calle Katherine Cáceres 3336, Maipú",Maipú,72,1072,11.53
"Francisca Fernández 834, Las Condes",Las Condes,48,538,22.44
"Psje. Lord Cochrane 777, San Miguel",San Miguel,62,23,16.99
"Marco Alarcón 7706, Macul",Macul,42,53,14.34
"Avda. José Manuel Balmaceda 724, Maipú",Maipú,31,617,12.11
"Los Robles 868, Macul",Macul,60,1014,11.07
"Calle Manuel Baquedano 9300, La Florida",La Florida,58,193,14.74
"Los Aromos 66, Ñuñoa",Ñuñoa,65,1023,20.66
"Michimalonco 791, La Florida",La Florida,44,1331,10.74
"Camino Esmeralda 42, Las Condes",Las Condes,35,424,15.12
"Eusebio Lillo 175, Maipú",Maipú,23,1097,11.31
"Manuel José Irarrázaval 3050, San Miguel",San Miguel,62,414,12.08
"Avenida Las Maravillas 3399, La Florida",La Florida,52,907,14.78
"Calle Arturo Prat 76, San Miguel",San Miguel,30,1155,11.45
"Rose Pérez 36, Santiago",Santiago,36,3855,13.12
"Eusebio Lillo 586, San Miguel",San Miguel,37,338,7.4
"Arturo Alessandri Palma 552, Macul",Macul,24,423,6.66
"Pasaje Paula Tapia 8, Las Condes",Las Condes,32,144,20.49
"Calle Lautaro 764, Las Condes",Las Condes,28,182,10.61
"Calle Jorge López 881, Providencia",Providencia,37,945,10.42
"Noemí Flores 7234, Lo Barnechea",Lo Barnechea,33,1991,12.55
"Las Margaritas 31, Maipú",Maipú,23,401,8.03
"Calle Los Carrera 4509, Providencia",Providencia,100,158,38.54
"Los Tilos 110, Estación Central",Estación Central,73,268,14.46
"Avda. Los Cactus 401, Ñuñoa",Ñuñoa,32,485,11.21
"Elías Vera 847, Lo Barnechea",Lo Barnechea,49,274,21.86
"Las Rosas 6553, La Florida",La Florida,52,212,14.39
"Los Carrera 6, Santiago",Santiago,71,1065,17.0
"Calle Manuel Antonio Matta 4184, San Miguel",San Miguel,32,6,12.42
"Los Aromos 778, San Miguel",San Miguel,69,619,11.02
"Calle Ingrid Jaque 8505, Macul",Macul,35,1262,6.86
"Avenida Gloria Arias 7671, Providencia",Providencia,26,247,16.85
"Avenida Las Manzanillas 1898, Estación Central",Estación Central,59,739,11.95
